,onnxruntime__fail,tensorrt__fail,tvm__fail,openvino__fail,torchscript__fail,torch_compile__fail,xla__fail,tensorflow__fail,tflite__fail,onnxruntime__pass,tensorrt__pass,tvm__pass,openvino__pass,torchscript__pass,torch_compile__pass,xla__pass,tensorflow__pass,tflite__pass
mm_matmul_DxD2_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_matmul_DxDhalf_v4_2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_gemm_t0_t0_a1_b0_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_gemm_t0_t1_a1_b0_v4_4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_gemm_t0_t1_a1_b1_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_gemm_t0_t0_a2_b1_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_matmul_chain2_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_matmul_chain3_v4_8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
mm_matmul_then_relu_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_equal_where_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_less_where_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_less_where_v4_2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_less_where_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_lessorequal_where_v4_4,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cmp_greater_where_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_greater_where_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_greater_where_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
